TITLE,ID,URL,Topic 1,Topic 1 FIT,Topic 2,Topic 2 FIT,Assign Final T£,Topic 3 FIT
Enabling Cornish Museums to offer Immersive Visitor Experiences,3a914efb-3833-4acb-8ce6-98775057326f,https://results2021.ref.ac.uk/impact/3a914efb-3833-4acb-8ce6-98775057326f,90,4,41,3,84,3
Virtual 3D Artefact Reconstruction and Interaction,752e1eb7-39cc-44b3-9aac-168cf5b34d5a,https://results2021.ref.ac.uk/impact/752e1eb7-39cc-44b3-9aac-168cf5b34d5a,90,4,41,3,84,2
"Days of the New Town: Developing knowledge, resources and audiences around the New Town expansion era of Warrington (UK) through a novel archive-sharing project.",cfc1fda5-be87-4aee-9309-69812f2756b3,https://results2021.ref.ac.uk/impact/cfc1fda5-be87-4aee-9309-69812f2756b3,90,4,115,3,85,3
Digital Victorians,c636c991-210f-4d12-adeb-0ac31ea5eb74,https://results2021.ref.ac.uk/impact/c636c991-210f-4d12-adeb-0ac31ea5eb74,90,4,85,3,84,3
"Contributing to Cultural Heritage though Conservation Science: sustainable conservation and non-invasive analytical solutions for use in treatments, display and preservation.",f5f7d789-c803-44d3-a19e-9fbe2db59b77,https://results2021.ref.ac.uk/impact/f5f7d789-c803-44d3-a19e-9fbe2db59b77,90,4,84,3,,
World Heritage: Strengthening Management through Collaboration and Research on Four Continents,4acb9860-cab0-4a3b-8e90-ea2fbc5c906e,https://results2021.ref.ac.uk/impact/4acb9860-cab0-4a3b-8e90-ea2fbc5c906e,90,4,91,2,,
Enhancing conservation methods and damage assessment to protect organic-based heritage objects,a87eca98-0e2a-4f16-be91-13ddf87e180f,https://results2021.ref.ac.uk/impact/a87eca98-0e2a-4f16-be91-13ddf87e180f,90,4,91,3,,
"Making Heritage Sustainable: Changing Professional Practice, Building Capacity and Influencing Policy Debate",587697ae-2705-4afa-a6d3-1094029f1ad2,https://results2021.ref.ac.uk/impact/587697ae-2705-4afa-a6d3-1094029f1ad2,90,4,89,3,,
Climate Change and Cultural Heritage,5f0e2ee3-6534-4cf8-91c7-1689a5a1abb9,https://results2021.ref.ac.uk/impact/5f0e2ee3-6534-4cf8-91c7-1689a5a1abb9,90,4,91,3,69,2
Reshaping professional heritage practice and changing understanding of heritage in the UK and internationally,11472784-5978-48b5-9515-0487a346682e,https://results2021.ref.ac.uk/impact/11472784-5978-48b5-9515-0487a346682e,90,4,91,3,84,3
Transforming access to cultural heritage through digital technologies,816e086d-a671-4f77-b619-97b6f152845d,https://results2021.ref.ac.uk/impact/816e086d-a671-4f77-b619-97b6f152845d,90,4,85,2,41,2
Public Policy and Cultural Engagement with History of Central Asia: Silk Roads,804f1a61-a77d-44eb-99c6-a1ba03bef4a7,https://results2021.ref.ac.uk/impact/804f1a61-a77d-44eb-99c6-a1ba03bef4a7,90,4,124,3,,
Sustaining and Opening-Up a World of Cultural Heritage: Building Digital Capacity for Cross-Sector Cultural Collaboration,b3e7b199-8172-484d-9828-3e330b26e4bf,https://results2021.ref.ac.uk/impact/b3e7b199-8172-484d-9828-3e330b26e4bf,90,4,85,3,48,2
New Heritage and Museum Futures for Replicas,74ed51f9-037d-491b-b892-16cce8a5c998,https://results2021.ref.ac.uk/impact/74ed51f9-037d-491b-b892-16cce8a5c998,90,4,84,2,,
Training in Action: securing heritage and building resilience after conflict in North Africa,2d7b3bde-a7c8-4433-9469-57575b0ad6d2,https://results2021.ref.ac.uk/impact/2d7b3bde-a7c8-4433-9469-57575b0ad6d2,90,4,91,3,123,2
Drafting and Supporting Implementation of the 2015 UNESCO Policy on World Heritage and Sustainable Development,8c27ffd2-c993-43fd-9c77-af40e1188b3f,https://results2021.ref.ac.uk/impact/8c27ffd2-c993-43fd-9c77-af40e1188b3f,90,4,91,3,,
Stories from the Frontier: Changing Heritage Practice and Visitor Experience Through Game-Play,f41c2aaa-7c64-49d6-bd9f-4c6268bc4353,https://results2021.ref.ac.uk/impact/f41c2aaa-7c64-49d6-bd9f-4c6268bc4353,90,4,41,3,99,2
"Cultural artefacts as cultural ambassadors: working with Taiwanese Indigenous groups and museums to share, preserve and enhance cultural identity",4dff7de8-f5ce-4a09-8e05-3aa679d2698c,https://results2021.ref.ac.uk/impact/4dff7de8-f5ce-4a09-8e05-3aa679d2698c,90,4,136,3,84,3
The Circulation of Ancient Manuscripts on the Antiquities Market: Improving the Ethical and Regulatory Practices and Standards of Market Stakeholders,ba2f1f2a-e9b3-4cb6-89ae-c4891c85dd72,https://results2021.ref.ac.uk/impact/ba2f1f2a-e9b3-4cb6-89ae-c4891c85dd72,90,4,85,3,121,2
Creating rural resilience through cultural heritage,26248687-d177-4c2f-8835-df745a5843d1,https://results2021.ref.ac.uk/impact/26248687-d177-4c2f-8835-df745a5843d1,90,4,85,2,92,2
"The Hadrian's Wall World Heritage Site: Generating Public Understanding and Engagement, and Supporting Management and Conservation",efd4a9e9-5c1a-4317-9a3b-3ed644dd8e8d,https://results2021.ref.ac.uk/impact/efd4a9e9-5c1a-4317-9a3b-3ed644dd8e8d,90,4,91,3,,
Heritage Protection and Preservation using Remotely Sensed Data,4d5c3d0c-c9c0-49f4-8794-ce45930dd76a,https://results2021.ref.ac.uk/impact/4d5c3d0c-c9c0-49f4-8794-ce45930dd76a,90,4,44,3,,
Repatriating Human Remains: Changing Museum Practice,239c2acd-75e2-46a6-9efe-0e507dc09eee,https://results2021.ref.ac.uk/impact/239c2acd-75e2-46a6-9efe-0e507dc09eee,90,4,136,3,84,2
"Learning from Loss: Coastal heritage, climate change and community action",75e55666-b1ff-479b-9d23-4410f479f912,https://results2021.ref.ac.uk/impact/75e55666-b1ff-479b-9d23-4410f479f912,90,4,89,4,85,3
Improving cultural heritage institutions’ understanding of Sir Hans Sloane’s catalogues and collections and facilitating better understanding of the potential of digital humanities research and collaboration in heritage settings,71112200-559d-425c-8580-37b47e1b80e2,https://results2021.ref.ac.uk/impact/71112200-559d-425c-8580-37b47e1b80e2,90,4,84,3,,
Achieving accessible and resilient heritage: the work of Durham’s new UNESCO Chair in South Asia,8ace7d86-9add-45ab-bd56-3f11f88ae2c7,https://results2021.ref.ac.uk/impact/8ace7d86-9add-45ab-bd56-3f11f88ae2c7,90,4,91,3,,
MicroPasts: Fostering large-scale public and multi-institutional collaborations online to enhance heritage interpretation and improve digital professional standards,2ade6b24-a38c-4d64-a48a-dc0bb886e0c6,https://results2021.ref.ac.uk/impact/2ade6b24-a38c-4d64-a48a-dc0bb886e0c6,90,4,91,3,85,3
Shaping new archival practices and design histories,3bb4a20d-ddde-4767-84a5-28d17fe00afc,https://results2021.ref.ac.uk/impact/3bb4a20d-ddde-4767-84a5-28d17fe00afc,90,4,84,2,,
Fiji In and Out of the Museum: international engagement with Fijian collections transforms curatorial and artistic practice,2c51681c-4214-4c66-ab98-708a0543ace3,https://results2021.ref.ac.uk/impact/2c51681c-4214-4c66-ab98-708a0543ace3,90,3,84,3,,
"Fiji in the World: national heritage activated, re-appreciated and re-valued",90099bb8-1b97-4108-81dd-6db045839b14,https://results2021.ref.ac.uk/impact/90099bb8-1b97-4108-81dd-6db045839b14,90,4,91,3,136,3
Enhancing learning and practice of museum professionals and source community members through material research into Pacific barkcloth,46f54b18-69dc-467b-b165-ab2fcbbb13cc,https://results2021.ref.ac.uk/impact/46f54b18-69dc-467b-b165-ab2fcbbb13cc,90,4,84,2,,
3D Sub Sea Visualisation,51533bcb-1259-4e2d-8b20-7fc97ca3aea4,https://results2021.ref.ac.uk/impact/51533bcb-1259-4e2d-8b20-7fc97ca3aea4,90,4,91,3,,
Developing best practice and generating new insights for archaeology and forensic science,d13a9dac-1db9-4673-97ce-1b05c6e865cd,https://results2021.ref.ac.uk/impact/d13a9dac-1db9-4673-97ce-1b05c6e865cd,90,4,91,4,,
"Heritage Action: The revelation, preservation and celebration of post-war modern architecture.",0966669b-8ef4-47f2-bb3c-64490c5a93d0,https://results2021.ref.ac.uk/impact/0966669b-8ef4-47f2-bb3c-64490c5a93d0,90,4,91,3,85,2
Revitalising Culture: Community Collections Research and Digital Engagement,1cd3acea-bf28-494b-8935-c9edb0a5881a,https://results2021.ref.ac.uk/impact/1cd3acea-bf28-494b-8935-c9edb0a5881a,90,4,136,3,85,2
"Safeguarding, transmitting and promoting cultural heritage in protracted displacement: Empowering Chagossians to prevent cultural loss",285b8482-43dd-4405-86cc-b3e55e12e08f,https://results2021.ref.ac.uk/impact/285b8482-43dd-4405-86cc-b3e55e12e08f,90,4,136,3,85,2
Enabling digital transformation through effective digitisation,3eac07b1-7c69-4191-a622-85f64476c018,https://results2021.ref.ac.uk/impact/3eac07b1-7c69-4191-a622-85f64476c018,90,4,44,3,86,2
"New optical instruments have transformed conservation and curatorial practices of dating, displaying and conserving priceless and irreplaceable cultural heritage assets",3de57296-18f0-4e8b-afbb-72e420dc50a2,https://results2021.ref.ac.uk/impact/3de57296-18f0-4e8b-afbb-72e420dc50a2,90,4,44,3,84,3
"Conservation, Management and Capacity Building for Prehistoric and Early Historic Egyptian Heritage",882468e0-a6f8-4a17-9e30-5e431225b97e,https://results2021.ref.ac.uk/impact/882468e0-a6f8-4a17-9e30-5e431225b97e,90,4,91,3,,
Visualising Heritage: digital transformations in heritage and archaeology,ece04e7d-0df5-4955-a4a7-b25168231a23,https://results2021.ref.ac.uk/impact/ece04e7d-0df5-4955-a4a7-b25168231a23,90,4,91,4,86,3
Coin Hoards of the Roman Empire: the digital preservation of transnational heritage,1357486f-1c0e-46fd-a720-d15350219d05,https://results2021.ref.ac.uk/impact/1357486f-1c0e-46fd-a720-d15350219d05,90,4,91,3,85,3
"The Pelagios Network: developing methods, tools and communities for linking online historical resources",9a3379cd-48ef-4e5f-a54d-d4ee8778575d,https://results2021.ref.ac.uk/impact/9a3379cd-48ef-4e5f-a54d-d4ee8778575d,90,4,91,3,48,3
Enhancing Legal and Policy Structures for Underwater Heritage Protection,943c27ef-5d31-4f08-b694-5ca53d186563,https://results2021.ref.ac.uk/impact/943c27ef-5d31-4f08-b694-5ca53d186563,90,4,91,3,120,3
Oxford Dictionary of National Biography (ODNB),40af7a65-eae2-40d5-8237-41b2f3b4b212,https://results2021.ref.ac.uk/impact/40af7a65-eae2-40d5-8237-41b2f3b4b212,90,4,92,3,87,2
"Mapping Global Histories: Visualising Geopolitics and Cultural Exchange, from the Ancient World through the Present",9dce835e-cdbb-4a91-94c8-53561a8230ad,https://results2021.ref.ac.uk/impact/9dce835e-cdbb-4a91-94c8-53561a8230ad,90,4,91,3,,
Preserving and Presenting 20th Century Colour Films for New Audiences,1002c444-ea01-4c39-b010-7baa2d2ac3a8,https://results2021.ref.ac.uk/impact/1002c444-ea01-4c39-b010-7baa2d2ac3a8,90,4,82,3,85,2
Preserving Cataloguing and Displaying Tibetan Monastic Collections,7282f883-8974-4ade-8aa3-a82a35b9c64b,https://results2021.ref.ac.uk/impact/7282f883-8974-4ade-8aa3-a82a35b9c64b,90,4,132,3,85,2
Building Creative Engagement with Industrial Heritage in the UK and Ukraine,57b05a02-6049-4d99-8e55-507a7e4ba3ec,https://results2021.ref.ac.uk/impact/57b05a02-6049-4d99-8e55-507a7e4ba3ec,90,4,86,3,85,3
"Safeguarding, enriching and enabling literary archives through sub-Saharan African case studies and copyright law",b4565fb3-c0a9-4125-82b0-8ba01a46fd7b,https://results2021.ref.ac.uk/impact/b4565fb3-c0a9-4125-82b0-8ba01a46fd7b,90,4,87,3,121,3
A Festival of Worktown: Using local archives to achieve cultural policy objectives through community arts engagement,bfc8c081-b972-485d-a9d3-6eab0cefd6ca,https://results2021.ref.ac.uk/impact/bfc8c081-b972-485d-a9d3-6eab0cefd6ca,85,4,92,2,,
"British Tattoo Art Revealed: Impacts on Communities, Collectors and Museums",fc4cd203-0ce6-49f2-92c1-ec67f19e6cec,https://results2021.ref.ac.uk/impact/fc4cd203-0ce6-49f2-92c1-ec67f19e6cec,85,3,,,,
"Alice's Adventures in 21st-Century Creative Industries: Enrichment, Extension and Diversification of a Victorian Icon",08a73df0-11b1-4809-8222-87355d388bb0,https://results2021.ref.ac.uk/impact/08a73df0-11b1-4809-8222-87355d388bb0,85,3,87,2,84,2
Promoting knowledge of art and religion in late antiquity: Empires of Faith,e9b49ac2-34ba-4e53-af9f-938121577606,https://results2021.ref.ac.uk/impact/e9b49ac2-34ba-4e53-af9f-938121577606,85,3,132,2,,
German Modernism and Women Artists: Transforming Curatorial and Artistic Practice,f0c8e962-7ca3-480d-9c43-eae55eaa56fb,https://results2021.ref.ac.uk/impact/f0c8e962-7ca3-480d-9c43-eae55eaa56fb,85,4,129,3,84,3
Enhancing cultural understanding of Brutalism and saving Preston Bus Station,2909154c-7777-43c2-a390-046225bbe274,https://results2021.ref.ac.uk/impact/2909154c-7777-43c2-a390-046225bbe274,85,4,91,4,,
Textile Stories: Enhancing public knowledge of the relationship between textiles and literary texts,114a9caa-f555-4182-bdd1-34ac08be5e9e,https://results2021.ref.ac.uk/impact/114a9caa-f555-4182-bdd1-34ac08be5e9e,85,4,,,,
"Shifting Perceptions of Islam and the Occult through Art and Material Culture: Social, Cultural and Economic Impact",bd6d18bf-b2ed-4e57-8f76-4a1f191874e7,https://results2021.ref.ac.uk/impact/bd6d18bf-b2ed-4e57-8f76-4a1f191874e7,85,4,135,2,,
North Sea Crossings: reanimating the literary heritage of Anglo-Dutch relations for special educational needs students and the heritage sector,2a1c3014-cd12-4c53-82ac-bdb033f216fa,https://results2021.ref.ac.uk/impact/2a1c3014-cd12-4c53-82ac-bdb033f216fa,85,4,95,3,99,2
Scotland’s National Tale within the Union,0ccadc2a-b129-4de7-8531-9665267e8135,https://results2021.ref.ac.uk/impact/0ccadc2a-b129-4de7-8531-9665267e8135,85,3,91,3,,
Building and enhancing public understanding of the histories of the Ottoman Empire and Middle East,840d6e73-e03a-464c-ae05-d5ac5f4d422d,https://results2021.ref.ac.uk/impact/840d6e73-e03a-464c-ae05-d5ac5f4d422d,85,2,91,2,136,2
Nuclear Cultural Heritage: From Knowledge to Practice,4f183425-2c0b-45e7-9ff8-47930345f7db,https://results2021.ref.ac.uk/impact/4f183425-2c0b-45e7-9ff8-47930345f7db,85,3,89,3,50,2
Sensing Place: Using Mobile Methodologies to Reconnect to the Spaces we Live in,70a2be4e-a2e1-42b6-8423-9ff8e9fb6941,https://results2021.ref.ac.uk/impact/70a2be4e-a2e1-42b6-8423-9ff8e9fb6941,85,3,,,,
"Citizen Scholarship: transforming organisational culture, practice and volunteer and audience engagement with cultural heritage in the East Midlands",8011d4fe-4846-45cf-8970-7efdede46970,https://results2021.ref.ac.uk/impact/8011d4fe-4846-45cf-8970-7efdede46970,85,4,83,3,,
Introducing Distributed Cognition to New Audiences,c9c666f1-ca3a-4c8c-b612-20c3fbd4b1ac,https://results2021.ref.ac.uk/impact/c9c666f1-ca3a-4c8c-b612-20c3fbd4b1ac,85,4,,,,
Angela Carter in Bristol: how a writer's work can enhance a city's cultural heritage,42138a39-190c-4532-b39d-128a16cdf929,https://results2021.ref.ac.uk/impact/42138a39-190c-4532-b39d-128a16cdf929,85,3,84,3,87,3
Enriching public understanding of and inspiring creative practice through the history of magical thinking,379d002d-201e-4527-818f-1324c5018eea,https://results2021.ref.ac.uk/impact/379d002d-201e-4527-818f-1324c5018eea,85,4,84,3,,
Punk and implicit religion: increasing participation and enhancing public understanding of the disadvantaged and marginalised,69945369-9780-4979-ac9a-a9208dd4c65e,https://results2021.ref.ac.uk/impact/69945369-9780-4979-ac9a-a9208dd4c65e,85,3,136,2,132,2
Excavating Youth Culture in Norwich: co-creating a history of Punk from within,7a0803fb-bcf9-461d-85da-4033b138bf84,https://results2021.ref.ac.uk/impact/7a0803fb-bcf9-461d-85da-4033b138bf84,85,3,91,3,86,2
"Transforming curatorial practice through the creation of an authoritative, accessible and transparent provenance resource for the Smithsonian’s Asian art collection",e80238a1-cbc4-4157-ab5a-eb6bcb8acbc8,https://results2021.ref.ac.uk/impact/e80238a1-cbc4-4157-ab5a-eb6bcb8acbc8,85,4,46,3,,
Neo-Victorian Culture and the Victorian Freak Show,cd358189-9c53-4b6e-9b55-e61432564007,https://results2021.ref.ac.uk/impact/cd358189-9c53-4b6e-9b55-e61432564007,85,3,104,2,129,2
Revitalising Dada’s Women: legacies one hundred years on,992dc91f-0470-4499-a399-df31dde4089b,https://results2021.ref.ac.uk/impact/992dc91f-0470-4499-a399-df31dde4089b,85,4,129,2,,
"Using historical research on families and life cycle to influence policy makers, museums, artists, and the public",56e88d11-eaeb-43bc-8a92-d96d941b80ab,https://results2021.ref.ac.uk/impact/56e88d11-eaeb-43bc-8a92-d96d941b80ab,85,3,84,3,31,2
"The Coffee Historian: achieving impact through industry collaboration, education and public engagement",937168f5-3806-417f-94e0-3c0fd5d66fb4,https://results2021.ref.ac.uk/impact/937168f5-3806-417f-94e0-3c0fd5d66fb4,85,2,75,2,111,2
Understanding emotional management: improving volunteer management policy and practice,6750a1c2-6485-4420-9260-17e25fca8954,https://results2021.ref.ac.uk/impact/6750a1c2-6485-4420-9260-17e25fca8954,85,3,109,3,,
Co-Making Economic Cultures,d4d0ca64-aad0-41e4-97f9-117404aceed6,https://results2021.ref.ac.uk/impact/d4d0ca64-aad0-41e4-97f9-117404aceed6,85,3,109,3,,
The Astronomer and the Witch: Uncovering the History of Johannes and Katharina Kepler,26043e36-aa57-4d95-991f-e7a7e5df7617,https://results2021.ref.ac.uk/impact/26043e36-aa57-4d95-991f-e7a7e5df7617,85,3,82,3,129,3
The Impact of Socially-Engaged Photographic Practice on Attitudes to Homelessness,200347b1-31c9-4b22-aaee-a340e9ae47e6,https://results2021.ref.ac.uk/impact/200347b1-31c9-4b22-aaee-a340e9ae47e6,85,4,115,3,110,2
Increasing the Public Heritage of Katherine Mansfield in France and New Zealand,f22a90e1-ce9b-45e7-8106-30d7c69ecdba,https://results2021.ref.ac.uk/impact/f22a90e1-ce9b-45e7-8106-30d7c69ecdba,85,4,129,3,91,2
"Public histories of the ‘long’ First World War: culture and society, Lincolnshire and England, 1910-20",2883e6c9-aa57-4564-a8f8-ce92e7b4f965,https://results2021.ref.ac.uk/impact/2883e6c9-aa57-4564-a8f8-ce92e7b4f965,85,4,92,3,129,2
Passions of Youth in Manchester and Salford: Engaging local people with Histories of Childhood and Youth,25e18a8d-4859-4688-930e-69408347c6df,https://results2021.ref.ac.uk/impact/25e18a8d-4859-4688-930e-69408347c6df,85,4,102,2,91,2
"Historical Pageants in Britain: Community Identity, Memory and the Performance of the Past",e5114572-5f6e-4c43-b37a-14e41d4a1f8c,https://results2021.ref.ac.uk/impact/e5114572-5f6e-4c43-b37a-14e41d4a1f8c,85,4,83,3,,
"The radical ideas and writings of Robert Grosseteste (c.1167-1253), scientist, philosopher and theologian",58a741e7-9296-44a8-939d-353968f5161e,https://results2021.ref.ac.uk/impact/58a741e7-9296-44a8-939d-353968f5161e,85,3,,,,
UoP32Artzines: Contemporary creative practice research: securing the future for ‘art-zines’ and artists’ books,c0a91c3b-24a9-44ff-a300-6a31df3eb088,https://results2021.ref.ac.uk/impact/c0a91c3b-24a9-44ff-a300-6a31df3eb088,85,4,84,3,86,2
Imprint: Medieval history informing science and heritage,edab8653-03f9-4112-a2c1-695be6232c45,https://results2021.ref.ac.uk/impact/edab8653-03f9-4112-a2c1-695be6232c45,85,4,84,2,,
"Mobilising and Moving Beyond the Archive: A Re-Engagement with Victorian Visual Practice, Generating Innovation with Curators, Artists, and Schools",b45a6143-51ea-4131-8b81-4b2044539521,https://results2021.ref.ac.uk/impact/b45a6143-51ea-4131-8b81-4b2044539521,85,4,84,3,99,2
Changing public perceptions of painting through practical and theoretical approaches to the Lacanian gaze,d6a43952-3826-47a2-819a-2bed4526db37,https://results2021.ref.ac.uk/impact/d6a43952-3826-47a2-819a-2bed4526db37,85,4,84,3,,
Book culture outside the academy: enhancing professional performance and influencing cultural behaviour,4c16c0f8-4f5e-41cc-bf7e-662747f12578,https://results2021.ref.ac.uk/impact/4c16c0f8-4f5e-41cc-bf7e-662747f12578,85,4,99,3,84,2
Unheard/Unseen: Re-presenting Neglected 20th-Century Practices,c6863743-5a8d-420b-917a-114b75499135,https://results2021.ref.ac.uk/impact/c6863743-5a8d-420b-917a-114b75499135,85,3,84,3,,
Shaping public perceptions and curatorial approaches to French Impressionists,529b2d68-60ab-4ee2-a4a3-d1942c7c8f59,https://results2021.ref.ac.uk/impact/529b2d68-60ab-4ee2-a4a3-d1942c7c8f59,85,4,84,3,,
"Crafting the Future: Building International Sustainability for Culturally Significant Designs, Products and Practices",e597ffb2-cd88-41a7-b158-eb09d0afc3b1,https://results2021.ref.ac.uk/impact/e597ffb2-cd88-41a7-b158-eb09d0afc3b1,85,4,136,3,84,2
Deepening Public Engagement in Medieval History Via New Design Strategies for Tabletop Games,3451cd3c-674c-4a2d-9319-7f0afdb131fb,https://results2021.ref.ac.uk/impact/3451cd3c-674c-4a2d-9319-7f0afdb131fb,85,3,91,2,,
Increasing Public Understanding of Greek Family History,016cf1b2-c6b9-44ea-a034-439c9511d8a6,https://results2021.ref.ac.uk/impact/016cf1b2-c6b9-44ea-a034-439c9511d8a6,85,4,99,3,48,3
Grand Designs in Ancient Greece: Transforming cross-curricular teaching and learning through play at primary and secondary levels,039f6ef6-31b0-4f33-934a-5bbbc5ac88ab,https://results2021.ref.ac.uk/impact/039f6ef6-31b0-4f33-934a-5bbbc5ac88ab,85,4,99,3,84,2
The Clove and the Shogun’s Telescope “Refocused”: Bringing the History of Early British Trade with Japan to 21st-century Audiences,86856de8-1346-4749-991a-86cecfcdb1ce,https://results2021.ref.ac.uk/impact/86856de8-1346-4749-991a-86cecfcdb1ce,85,4,124,3,84,2
Influencing cultural policy for democracy by mobilising the civic capacity of ‘left behind’ communities,bf2ef9eb-7806-4b8b-8291-41f7ee95de8f,https://results2021.ref.ac.uk/impact/bf2ef9eb-7806-4b8b-8291-41f7ee95de8f,85,3,105,2,,
Politically engaged artistic practice: Changing the lives of young people through the Tate Exchange Programme,22aadcc5-4716-4ebb-ac37-4ec8ae19d19e,https://results2021.ref.ac.uk/impact/22aadcc5-4716-4ebb-ac37-4ec8ae19d19e,85,4,102,3,,
Enabling non-academics to carry out creative-historical research into migration histories,0c7d2cad-5dd1-424b-a85e-6c7352ad5037,https://results2021.ref.ac.uk/impact/0c7d2cad-5dd1-424b-a85e-6c7352ad5037,85,4,133,3,87,3
Impact of the importance of sound for our understanding of the experience of animals in early medieval England,0904f0ac-1954-43da-94f3-6b4c579d55fe,https://results2021.ref.ac.uk/impact/0904f0ac-1954-43da-94f3-6b4c579d55fe,85,4,41,3,81,2
UoP27Ruskin: Transforming the complex legacies of John Ruskin for his modern-day heirs,0ed370cf-001a-4536-adab-5c2110979995,https://results2021.ref.ac.uk/impact/0ed370cf-001a-4536-adab-5c2110979995,85,4,114,3,91,2
Remembering the Reformation,98572194-0e53-47dc-afde-5dbd4104f8ae,https://results2021.ref.ac.uk/impact/98572194-0e53-47dc-afde-5dbd4104f8ae,85,4,84,3,132,2
"Revising interpretations of viking culture through gaming, TV and radio",13d0e278-ed5d-4885-b3fb-c10e30d4f7b6,https://results2021.ref.ac.uk/impact/13d0e278-ed5d-4885-b3fb-c10e30d4f7b6,85,4,86,3,41,2
Transforming Curatorial Practice and Enhancing Understanding through Themes in British Art,ebcc826a-3e67-4d31-a410-24ca20637d6b,https://results2021.ref.ac.uk/impact/ebcc826a-3e67-4d31-a410-24ca20637d6b,85,4,84,3,91,2
Promoting Public Awareness and Understanding of the Crusades and the Career of the Medieval Knight William Marshal,094b99f2-8c30-48e9-9b29-ef55c51e8db5,https://results2021.ref.ac.uk/impact/094b99f2-8c30-48e9-9b29-ef55c51e8db5,85,4,84,3,,
"Transforming Norfolk’s Historic Books and Manuscripts into New Resources for Innovation in Heritage, Creative, and Educational Practice",783b80c8-825e-4908-8563-12346ea6c2b3,https://results2021.ref.ac.uk/impact/783b80c8-825e-4908-8563-12346ea6c2b3,85,4,87,3,90,2
Increasing the Present-Day Impact of Religious History and Archives,d2783860-a07d-4f19-8b7a-a026ae0e0c5f,https://results2021.ref.ac.uk/impact/d2783860-a07d-4f19-8b7a-a026ae0e0c5f,85,4,132,3,87,2
New Technologies and Changing Lives: Histories of the Unexpected,542a6453-7798-47f4-8107-17008510bffe,https://results2021.ref.ac.uk/impact/542a6453-7798-47f4-8107-17008510bffe,85,4,126,2,98,2
"Fostering Scottish art through research, collaboration and engagement: The Ages of Wonder exhibition at the Royal Scottish Academy.",a66bc0b0-7c91-4988-8a66-63104375cacf,https://results2021.ref.ac.uk/impact/a66bc0b0-7c91-4988-8a66-63104375cacf,85,4,84,3,91,2
Heroism and Expeditionary Archives,cb8cdfcd-0f1f-4f37-bb6a-a0ebbee108d4,https://results2021.ref.ac.uk/impact/cb8cdfcd-0f1f-4f37-bb6a-a0ebbee108d4,85,4,84,3,91,2
Using Museum Collections to Inform Public Understanding of the Ancient Greek and Etruscan Past,64a06c32-ef0a-47e9-9c40-26eba2f5899c,https://results2021.ref.ac.uk/impact/64a06c32-ef0a-47e9-9c40-26eba2f5899c,85,4,99,3,91,3
Using oral histories to create awareness of industrial heritage for social and economic benefit,0cdace7a-82a1-4fe4-80f8-e0825c854692,https://results2021.ref.ac.uk/impact/0cdace7a-82a1-4fe4-80f8-e0825c854692,85,4,136,3,,
Preserving London-French Web Heritage,313282f0-ef26-48d6-83fb-70a3353f3e54,https://results2021.ref.ac.uk/impact/313282f0-ef26-48d6-83fb-70a3353f3e54,85,4,48,4,43,2
Collaboration and co-production of new cultural artefacts in raising public awareness of Scotland’s sporting heritage through the Commonwealth Games Scotland Archive,ed93c3ad-2122-4731-8de4-4fc3f78150e4,https://results2021.ref.ac.uk/impact/ed93c3ad-2122-4731-8de4-4fc3f78150e4,85,4,19,3,,
"Anglo-Saxon Kingdoms: informing “the most impressive, far-reaching show ever staged at the British Library”",53ba9bdc-c190-41e8-81f6-61e770c56d1c,https://results2021.ref.ac.uk/impact/53ba9bdc-c190-41e8-81f6-61e770c56d1c,85,4,84,3,87,2
Building the digital confidence and skills of international museum workforces through policy and practice,dcd1970a-b506-4c37-8cf6-adba37bec19a,https://results2021.ref.ac.uk/impact/dcd1970a-b506-4c37-8cf6-adba37bec19a,85,4,84,2,,
Heritage Communities and Co-Production,0f6a94cc-2b97-4389-8288-6bf511a61b8c,https://results2021.ref.ac.uk/impact/0f6a94cc-2b97-4389-8288-6bf511a61b8c,85,4,113,2,90,1
Working with Vulnerable and Hard-to-Reach Groups to Transform Community Histories,242fddb9-e012-45cd-8586-371d6901ceaf,https://results2021.ref.ac.uk/impact/242fddb9-e012-45cd-8586-371d6901ceaf,85,4,136,2,,
Transforming understanding of design and its histories,f92e8ebf-ded2-408f-96a1-5f29a1e22dec,https://results2021.ref.ac.uk/impact/f92e8ebf-ded2-408f-96a1-5f29a1e22dec,85,4,84,3,,
"Redefining Community Museums in Europe, Latin America and the Caribbean",e90e82d6-d4ff-4ba7-857c-bfff5403aa91,https://results2021.ref.ac.uk/impact/e90e82d6-d4ff-4ba7-857c-bfff5403aa91,85,4,84,3,,
Shaping cultural policy and enhancing cultural regeneration through historical understandings of arts participation and regional arts policy,13a7b65f-9659-410f-8c0a-89dcef92183c,https://results2021.ref.ac.uk/impact/13a7b65f-9659-410f-8c0a-89dcef92183c,85,4,91,3,,
‘Carbon Meets Silicon’ curatorial project and collaboration,640a0ff5-afa1-4a31-9441-b4a37e32cfac,https://results2021.ref.ac.uk/impact/640a0ff5-afa1-4a31-9441-b4a37e32cfac,85,4,,,,
‘The Best It Can Be’: Redefining and enhancing quality in participatory arts,eb97036f-d2c9-426f-b47e-a5d7a5540c02,https://results2021.ref.ac.uk/impact/eb97036f-d2c9-426f-b47e-a5d7a5540c02,85,4,,,,
