,All,Panel A,Panel B,UoA4,Panel C,Panel D
Transport Salaried Staffs' Association,0.01,,,,0.02,
Gardiner-Caldwell Communications,0.01,0.03,,,,
Action Medical Research,0.01,0.03,,0.14,,
The George Institute for Global Health,0.01,0.03,,,,
St Andrew’s Healthcare,0.01,0.03,,0.14,,
Baxter Healthcare,0.01,0.03,,,,
Skoll Centre for Social Entrepreneurship,0.01,,,,0.02,
Resuscitation Council UK,0.01,0.03,,,,
Health Education East Midlands,0.01,,,,,0.04
Deakin University,0.01,,,,,0.04
Greenstreet Berman,0.01,,,,,0.04
University of Northampton,0.01,,,,,0.04
DNV Healthcare,0.01,,,,,0.04
National Rehabilitation Hospital Dublin,0.01,,,,,0.04
Eastern Academics Science Network,0.01,,,,,0.04
Carlton Hayes Mental Health Charity,0.01,,,,,0.04
Islington Primary Care Trust,0.01,,,,,0.04
Arjo International,0.01,,,,,0.04
Hill ROM,0.01,,,,,0.04
University of Cincinnati,0.01,,,,,0.04
Nottinghamshire Fire and Rescue Service,0.01,,,,0.02,
EVZ Foundation,0.01,,,,0.02,
Energy Institute,0.01,,,,0.02,
NATS,0.01,,0.03,,,
OMNI Gynaecological Care,0.01,,0.03,,,
Thales,0.01,,0.03,,,
Lejeune Foundation,0.01,0.03,,,,
Autistica,0.01,0.03,,,,
Birmingham Children's Hospital,0.01,0.03,,,,
Baily Thomas Foundation,0.01,0.03,,,,
Rapiscan,0.01,,0.03,,,
Sunderland Council,0.01,,,,0.02,
Micro-X,0.01,,0.03,,,
The College of Policing,0.01,,0.03,,,
"Institute for Public Safety, Crime and Justice",0.01,,,,0.02,
Northumbria Police,0.01,,,,0.02,
Allen Lane Foundation,0.01,,,,0.02,
Andrews Charitable Trust,0.01,,,,0.02,
Matthew 25:35 Trust,0.01,,,,0.02,
Sussex Learning Network,0.01,,,,0.02,
UK Prevention Research Partnership,0.01,0.03,,0.14,,
Folke Bernadotte Academy,0.01,,,,0.02,
National Audit Office,0.01,,,,0.02,
National Fire Chiefs Council,0.01,,,,0.02,
Cosmonio,0.01,,0.03,,,
UK Road Offender Education,0.01,0.03,,0.14,,
Science Po Paris,0.01,,,,0.02,
European Fisheries Control Agency,0.01,,0.03,,,
Kidneys For Life Charity,0.01,0.03,,,,
European Fisheries Fund,0.01,,0.03,,,
Hope kidney Patient Association,0.01,0.03,,,,
The Michael J Fox Foundation,0.01,0.03,,,,
Orient Global Foundation,0.01,,,,0.02,
East Midlands Health Innovation and Education Cluster,0.01,0.03,,,,
Learning and Teaching Support Network,0.01,,,,0.02,
Autism Cymru,0.01,0.03,,0.14,,
Queens Nursing Institute Scotland,0.01,0.03,,,,
Fundació Institut Catali de I'Envelliment,0.01,0.03,,,,
London Borough of Barking and Dagenham,0.01,,,,,0.04
Age Exchange Theatre Trust,0.01,,,,0.02,
VETO-Sekretariat,0.01,0.03,,,,
Swedish Agriculture Research Grant,0.01,0.03,,,,
General Osteopathic Council,0.01,0.03,,,,
Centre for British Teachers,0.01,,,,0.02,
Mars UK,0.01,0.03,,,,
Public Health Institute,0.01,0.03,,,,
Department of Communities and Local Government,0.01,,,,0.02,
Construction Industry Training Board,0.01,,,,0.02,
Institution of Occupational Safety & Health,0.01,,,,0.02,
Newcastle University,0.01,0.03,,,,
Armassuisse,0.01,,0.03,,,
Tavistock Trust for Aphasia,0.01,0.03,,,,
Centre for Development and Enterprise,0.01,,,,0.02,
London School Excellence Fund,0.01,,,,0.02,
Greater Lincolnshire Local Enterprise Partnership,0.01,,,,0.02,
Scottish Council for Voluntary Organisations,0.01,,,,0.02,
Merck/MSD Animal Health,0.01,0.03,,,,
SE Asia Rainforest Research Partnership,0.01,0.03,,,,
HSBC,0.01,,,,0.02,
Alan Turin Institute,0.01,,,,0.02,
Renfrewshire Council,0.01,,,,0.02,
Australian Aid,0.01,,,,0.02,
Bristol-Myers Squibb,0.01,0.03,,,,
Gilead Sciences Europe,0.01,0.03,,,,
Astex Technology,0.01,,0.03,,,
LexisNexis Risk solutions,0.01,,,,0.02,
Forestry Commission Scotland,0.01,,0.03,,,
KnowledgePoint360 Group,0.01,0.03,,,,
Institute of Chartered Accountants Scotland,0.01,,,,0.02,
Roche Products,0.01,0.03,,,,
UK/Ireland Networking Grant,0.01,,,,0.02,
Viiv Healthcare,0.01,0.03,,,,
Nottinghamshire Police and Crime Commissioner,0.01,,,,0.02,
South Nottinghamshire Community Safety Partnership,0.01,,,,0.02,
Instituto Alpha e Beto,0.01,,,,0.02,
National Research University Higher School of Economics,0.01,,,,0.02,
David and Elaine Potter Foundation,0.01,,,,0.02,
PricewaterhouseCoopers,0.01,0.03,,0.14,,
Norwegian Environment Agency,0.01,0.03,,0.14,,
Mast Carbon,0.01,,0.03,,,
Parker Domnick Hunter,0.01,,0.03,,,
Air Products & Chemicals,0.01,,0.03,,,
Honda Engineering Europe,0.01,,0.03,,,
Sustainable inshore fisheries trust,0.01,,,,0.02,
Lloyd's register educational trust,0.01,,,,0.02,
Mass Spec Analytical,0.01,,0.03,,,
Institute for Local Governance,0.01,,,,0.02,
"Ministry of Labour, Social Affairs and Consumer Protection",0.01,,,,0.02,
The Healing Foundation,0.01,0.03,,,,
Vocational Training Charitable Trust Foundation,0.01,0.03,,,,
Seattle Children's Research Institute,0.01,0.03,,,,
Robert Bosch Stiftung,0.01,,,,0.02,
Winston Churchill Foundation,0.01,,,,0.02,
Universities Federation for Animal Welfare,0.01,0.03,,0.14,,
Charles River Laboratories,0.01,0.03,,0.14,,
Labcorp,0.01,0.03,,0.14,,
Harlan,0.01,0.03,,0.14,,
Badminton World Federation,0.01,,,,0.02,
Crohns and Colitis,0.01,0.03,,,,
CGIAR,0.01,0.03,,,,
EAT,0.01,0.03,,,,
BT,0.01,,,,0.02,
International Inequalities Institute,0.01,,,,0.02,
MacroGenics,0.01,0.03,,,,
Kura Oncology,0.01,0.03,,,,
NanoString Technologies,0.01,0.03,,,,
Roger Counter Foundation,0.01,0.03,,,,
Barts and the London Charity,0.01,0.03,,,,
Knowledge Transfer Fund,0.01,0.03,,,,
"National Roads Policing Operations, Intelligence and Investigation",0.01,,,,0.02,
Qualifications and Curriculum Authority,0.01,,,,0.02,
Baily Thomas Charitable Foundation,0.01,0.03,,0.14,,
Great Western Research,0.01,,0.03,,,
Lincolnshire Police,0.01,,,,0.02,
Police and Crime Commissioner for South Wales,0.01,,,,0.02,
Taronga Conservation Society Australia,0.01,0.03,,,,
Police and Crime Commissioner for Dyfed Powys,0.01,,,,0.02,
National Police Chiefs’ Council,0.01,,,,0.02,
Human Rights Consortium of the University of London,0.01,,,,0.02,
Office of the Police and Crime Commissioner for Staffordshire,0.01,,,,0.02,
Australian Automobile Association,0.01,,,,0.02,
UK Nursing and Midwifery Council,0.01,,,,0.02,
EU Jean Monnet MAPS project,0.01,,,,0.02,
Canada-UK Foundation,0.01,0.03,,0.14,,
The Greater London Authority,0.01,0.03,,0.14,,
Macquarie Research Development Grant,0.01,,,,0.02,
The Atlantic Philanthropies,0.01,,,,0.02,
University Association for Contemporary European Studies,0.01,,,,0.02,
Vrije Universiteit Brussel,0.01,,,,0.02,
Pancreatic Cancer UK,0.01,0.03,,,,
University of Oxford,0.01,,,,0.02,
City of Edinburgh Council,0.01,,,,0.02,
Caja Madrid Foundation,0.01,,,,0.02,
State Examinations Commission,0.01,,,,0.02,
Office of Qualifications and Examinations Regulation,0.01,,,,0.02,
The Church of England Diocese of Sheffield,0.01,,,,0.02,
Movember,0.01,0.03,,,,
Ipsos MORI,0.01,0.03,,,,
LV Network Templates,0.01,,0.03,,,
Rafael del Pino Foundation,0.01,,,,0.02,
EC Framework Projects,0.01,,0.03,,,
Qinetiq UK Ltd,0.01,,0.03,,,
SELEX,0.01,,0.03,,,
FiTForLaw,0.01,,,,0.02,
Crohn's and Colitis,0.01,0.03,,,,
Western Power Distribution,0.01,,0.03,,,
Rape Crisis Scotland,0.01,,,,0.02,
Ipsen Innovation,0.01,0.03,,,,
ConFor,0.01,,0.03,,,
Process Integration Research Consortium,0.01,,0.03,,,
Douglas Pharmaceuticals,0.01,0.03,,,,
The Caring Cancer Trust,0.01,0.03,,,,
The Cancer Prevention Research Trust,0.01,0.03,,,,
Langdales Cancer Trust,0.01,0.03,,,,
The Humane Research Trust,0.01,0.03,,,,
Bloodwise,0.01,0.03,,,,
Cure Leukemia,0.01,0.03,,,,
MPD Voice,0.01,0.03,,,,
Northern Ireland Department for Health and Social Care,0.01,0.03,,,,
Pharmaceutical industry funders,0.01,0.03,,,,
Abertawe Bro Morgannwg University,0.01,0.03,,0.14,,
Tenovus Cancer Care,0.01,0.03,,0.14,,
Birmingham Women’s Hospital,0.01,0.03,,,,
Pensions and Lifetime Savings Association,0.01,,,,0.02,
CFA Society of the UK,0.01,,,,0.02,
Health and Social Care Board,0.01,,0.03,,,
Railway Pension Investments,0.01,,,,0.02,
Cantervale,0.01,0.03,,0.14,,
Department of Agriculture Food and the Marine,0.01,,0.03,,,
World Trade Organization,0.01,,,,0.02,
Borealis AB,0.01,,0.03,,,
Society for research into higher education,0.01,,,,0.02,
National Institute for Justice,0.01,,,,0.02,
Alzheimer's Research Trust,0.01,0.03,,,,
Cambridge Weight Plan,0.01,0.03,,,,
Cure Huntington’s Disease Initiative,0.01,0.03,,0.14,,
UCL Business,0.01,0.03,,,,
GlaxoWellcome,0.01,0.03,,,,
European Association of Producers of Flame Retarded Olefinic Cable Compounds,0.01,,0.03,,,
Wilmington,0.01,,,,0.02,
Rockwool International,0.01,,0.03,,,
UCB-Celltech,0.01,0.03,,,,
DoD,0.01,,0.03,,,
AVIVA,0.01,,,,0.02,
Ernst Young,0.01,,,,0.02,
Cranfield University,0.01,,,,0.02,
Association of Sign Language Interpreters,0.01,,,,,0.04
Edinburgh Beltane,0.01,,,,,0.04
GMB,0.01,,,,0.02,
Police Care UK,0.01,,,,0.02,
CWU Ireland,0.01,,,,0.02,
DeepMind Technologies,0.01,,,,0.02,
United States Air Force Office of Scientific Research,0.01,,0.03,,,
Electricity North West,0.01,,0.03,,,
John Templeton Research Foundation,0.01,,,,,0.04
The North East Urgent and Emergency Care Network,0.01,0.03,,,,
The London Organising Committee of the Olympic Games and Paralympic Games,0.01,,,,,0.04
Universities China Committee in London,0.01,,,,,0.04
Merck Sharp and Dohme,0.01,0.03,,,,
Luminate Group,0.01,,,,0.02,
Dalarna University,0.01,0.03,,,,
Government Investment Corporation of Singapore,0.01,,,,0.02,
Miami Foundation,0.01,,,,0.02,
International Centre for Pension Management,0.01,,,,0.02,
The Institute and Faculty of Actuaries,0.01,,,,0.02,
UNISON,0.01,,,,0.02,
West Midlands Combined Authority,0.01,,,,0.02,
"National Centre for Replacement, Refinement and Reduction of Animals in Research",0.01,,0.03,,,
Mandate Trade Union,0.01,,,,0.02,
New Opportunities for Research Funding Agency Cooperation in Europe,0.01,,,,0.02,
The Culture Capital Exchange,0.01,,,,,0.04
CleanSky2,0.01,,0.03,,,
Cambridge and Peterborough Combined Authority,0.01,,,,0.02,
Unison,0.01,,,,0.02,
Victoria and Albert Museum,0.01,,,,,0.04
Wessex Water,0.01,,,,0.02,
Department for the Economy,0.01,,,,0.02,
Devon-wide Local Authories,0.01,,,,0.02,
UNITE the Union,0.01,,,,0.02,
City and Hackney Primary Care Trusts,0.01,0.03,,,,
Kick It Out,0.01,,,,0.02,
Royal Academy,0.01,,,,0.02,
MRC (Medical Research Council),0.01,,0.03,,,
Henry Luce Foundation,0.01,,,,,0.04
Open Society Foundations  Fellowship,0.01,,,,0.02,
ISEAL Alliance,0.01,,,,0.02,
Transforming Mental Health,0.01,0.03,,,,
Coleg Cymraeg Cenedlaethol,0.01,,,,0.02,
Doble,0.01,,0.03,,,
British Small Animal Veterinary Association,0.01,0.03,,,,
New Zealand Department of Conservation,0.01,0.03,,,,
West of England Academic Health Sciences Network Public Health England,0.01,0.03,,,,
Scottish Graduate School for Arts and Humanities (SGSAH),0.01,,,,,0.04
British High Commission,0.01,,0.03,,,
Engineering Composites Solutions Ltd,0.01,,0.03,,,
Oxford Instruments,0.01,0.03,,,,
Dr Mortimer and Theresa Sackler Foundation,0.01,,0.03,,,
The Lipman-Miliband Trust,0.01,,,,,0.04
The Society for French Studies,0.01,,,,,0.04
Colt Foundation,0.01,0.03,,,,
Raphael Hoermann,0.01,,,,,0.04
Food Standards Agency Scotland,0.01,0.03,,,,
Daisy Appeal Charity,0.01,,0.03,,,
Cardiac Trust,0.01,,0.03,,,
Scottish Society for Crop Research,0.01,0.03,,,,
Leeds City Council,0.01,,,,0.02,
Philosophy of Hope and Optimism,0.01,,,,,0.04
Philosophy of Hope and Optimism Funding Initiative,0.01,,,,0.02,
Raytheon United Kingdom,0.01,,,,0.02,
GambleAware,0.01,,,,0.02,
Royal National Lifeboats Institute,0.01,,0.03,,,
House of Lords,0.01,,,,0.02,
Association of Art Historians (AAH),0.01,,,,,0.04
Energy Technology Partnership,0.01,,,,0.02,
Sport Northern Ireland,0.01,,,,0.02,
"Law Centre, NI",0.01,,,,0.02,
Shapoorji Pallonji,0.01,,0.03,,,
Twitter,0.01,,,,0.02,
International Association for Bear Research and Management,0.01,,0.03,,,
Fish and Wildlife Service,0.01,,0.03,,,
The Ohio State University,0.01,,0.03,,,
Conservation International,0.01,,0.03,,,
Primate Conservation,0.01,,0.03,,,
International Iguana Foundation,0.01,,0.03,,,
IguanaFest,0.01,,0.03,,,
NAGRA,0.01,,0.03,,,
Oil And Gas Technology Centre,0.01,,0.03,,,
European Climate Foundation,0.01,,,,0.02,
Digital Health Institute,0.01,0.03,,,,
Tobacco Advisory Group,0.01,0.03,,0.14,,
British Liver Trust,0.01,0.03,,,,
Private Investors,0.01,,0.03,,,
Beijing Municipal Commission of Education,0.01,,,,,0.04
Tal Foundation,0.01,,,,,0.04
Pola Art Foundation,0.01,,,,,0.04
Royal Norwegian Embassy in London,0.01,,,,,0.04
Fire Protection Association,0.01,,0.03,,,
Institutional Funding,0.01,0.03,,,,
Stagecoach Supertram Maintenance Ltd,0.01,,0.03,,,
Research to Prevent Blindness,0.01,0.03,,0.14,,
Schindler Foundation,0.01,,,,,0.04
Health Education England North East,0.01,0.03,,,,
Voluntary Action Rotherham,0.01,,,,0.02,
Woolf Fisher Trust,0.01,0.03,,0.14,,
Choroideremia Research Foundation,0.01,0.03,,0.14,,
Moorfields Eye Hospital Development Fund,0.01,0.03,,0.14,,
Royal College of Surgeons of Edinburgh,0.01,0.03,,0.14,,
Special Trustees of Moorfields Eye Hospital,0.01,0.03,,0.14,,
East Midlands Development Agency (EMDA),0.01,,0.03,,,
Scottish Governmen t,0.01,0.03,,,,
Oculus Optikgeraete Gmbh,0.01,,0.03,,,
Japan Foundation,0.01,,,,,0.04
Scottish Executive Central Research Unit,0.01,0.03,,,,
City of Bradford,0.01,,,,,0.04
Reynold Chain,0.01,,0.03,,,
China National Arts Fund,0.01,,,,,0.04
Stuart Hall Foundation,0.01,,,,,0.04
GML,0.01,,,,,0.04
Subsea 7,0.01,,0.03,,,
Salt’s Mill,0.01,,,,,0.04
Cactus Industrial,0.01,,0.03,,,
Oil Technics,0.01,,0.03,,,
California Institute of Technology,0.01,,0.03,,,
Compton Verney,0.01,,,,,0.04
Scottish Executive,0.01,0.03,,,,
Alpiq,0.01,,,,0.02,
British Oxygen Company,0.01,,0.03,,,
Queen Elizabeth Diamond Jubilee Trust,0.01,,0.03,,,
Teresa Rosenbaum Golden Charitable Trust,0.01,,0.03,,,
European Culture Programme,0.01,,,,,0.04
Norwegian Arts Council,0.01,,,,,0.04
Construction Scotland Innovation Centre,0.01,,,,0.02,
British Standards Institution,0.01,,,,0.02,
Classics for All,0.01,,,,,0.04
Grand Challenges Canada,0.01,0.03,,,,
The Cheshire and Merseyside Comprehensive Local Research Network,0.01,0.03,,,,
West China School of Medicine Sichuan University,0.01,0.03,,,,
UK Programme Award,0.01,0.03,,,,
Evoqua Water Technologies,0.01,,0.03,,,
Leventis Foundation,0.01,,,,,0.04
Scottish Government Health Directorate,0.01,0.03,,,,
Society for Research in Higher Education,0.01,,,,0.02,
Roehampton University,0.01,,,,0.02,
Waste & Resources Action Programme,0.01,,0.03,,,
Arts Council of Ireland,0.01,,,,0.02,
Scottish Human Rights Commission,0.01,,,,0.02,
Advanced Manufacturing Research Centre,0.01,,0.03,,,
- Affordable Healthcare in India Award,0.01,,0.03,,,
Turnitin,0.01,,0.03,,,
Artificial Researcher IT GmbH,0.01,,0.03,,,
Cactus Communications Service,0.01,,0.03,,,
Naver Naver Corporation,0.01,,0.03,,,
Royal College of Psychiatrists,0.01,,,,0.02,
Luxinar,0.01,,0.03,,,
Scottish Stem Cell Network,0.01,,,,0.02,
Being Human Festival,0.01,,,,,0.04
The Commonwealth Legal Education Association,0.01,,,,0.02,
UK Centre for Legal Education,0.01,,,,0.02,
Yorkshire and Humber Deanery,0.01,,0.03,,,
New and Emerging Applications of Technology Programme,0.01,,0.03,,,
National Institute of Health,0.01,,,,0.02,
Medicines for Malaria Venture,0.01,0.03,,,,
The Ogden Trust,0.01,,0.03,,,
"Community Links, Canning Town",0.01,,,,,0.04
"Mansions of the Future, Lincoln",0.01,,,,,0.04
Elmhurst Ballet School,0.01,,,,0.02,
Pennine Water Group,0.01,,0.03,,,
International Water Management Institute,0.01,,,,0.02,
European Organisation for the Exploitation of Meteorological Satellites,0.01,,,,0.02,
Northern Ireland Department of Finance,0.01,,,,,0.04
Faraday Institute of Science and Technology,0.01,,0.03,,,
Jeremy Benn Associates,0.01,,0.03,,,
University of Stirling,0.01,,,,,0.04
OntoChem GmbH,0.01,,0.03,,,
Innovation Engineering,0.01,,0.03,,,
FlowCite GmbH,0.01,,0.03,,,
Iris AI,0.01,,0.03,,,
Life Changes Trust,0.01,0.03,,0.14,,
Wenner Gren Foundation for Anthropological Research,0.01,,,,0.02,
Richard Lounsbery Foundation,0.01,,,,0.02,
Family Larsson-Rosenquist Foundation,0.01,0.03,,,,
Disability Research for Independent Living and Learning,0.01,,,,0.02,
"WT , EC",0.01,0.03,,,,
STEPS Centre,0.01,,,,0.02,
National Centre of Social Research,0.01,,,,0.02,
University of Sheffield,0.01,,,,0.02,
Global Earthquake Model (GEM),0.01,,0.03,,,
UCL,0.01,,0.03,,,
Global Facility for Disaster Reduction and Recovery,0.01,,0.03,,,
UK Prosperity Fund,0.01,,,,0.02,
American Chemistry Society,0.01,,0.03,,,
Nortel Networks,0.01,,0.03,,,
Scottish Health Action on Alcohol Problems,0.01,0.03,,,,
Syngenta,0.01,,,,0.02,
Alzheimer’s Research,0.01,0.03,,0.14,,
Society for the Study of Addiction,0.01,0.03,,0.14,,
Inderscience Publishers,0.01,,0.03,,,
Oxford Martin School,0.01,,,,0.02,
Lloyd Cotsen,0.01,,,,,0.04
Institute for Family Business Research Foundation,0.01,,,,0.02,
Health Technology Assessment,0.01,0.03,,,,
Institute of Leadership and Management,0.01,,,,0.02,
SP Energy Networks,0.01,,0.03,,,
European Union Agency for Fundamental Rights,0.01,,,,0.02,
Planning Advisory Service,0.01,,,,0.02,
International Science Council,0.01,,,,0.02,
Mercers’ Company,0.01,,,,,0.04
US Institute for Peace,0.01,,,,0.02,
Oldham Council,0.01,,0.03,,,
Pendleton Cooperative,0.01,,0.03,,,
Wythenshawe Community Housing Group,0.01,,0.03,,,
Social Farms and Gardens,0.01,,0.03,,,
Mosscare St Vincent Housing Group,0.01,,0.03,,,
Heathrow Airport,0.01,,0.03,,,
Czech Academy of Sciences,0.01,,0.03,,,
PRS Foundation,0.01,,,,,0.04
Opera America and Virginia B. Toulmin Foundation,0.01,,,,,0.04
MINOUW Project,0.01,,0.03,,,
HORIBA,0.01,,0.03,,,
Children's Investment Fund Foundation,0.01,,0.03,,,
City of Melbourne Council,0.01,,,,0.02,
Liaoning Province Transportation Department,0.01,,,,0.02,
Welsh Assembly Government,0.01,,,,0.02,
Novo Nordisk A/S,0.01,,,,0.02,
African Union Commission,0.01,0.03,,,,
Quark Expeditions,0.01,0.03,,,,
Genomics England Limited,0.01,0.03,,,,
Prosonix,0.01,0.03,,,,
US Food and Drug Administration,0.01,0.03,,,,
Peggy Ramsay Foundation,0.01,,,,,0.04
Magic Leap,0.01,,,,,0.04
Pervasive Media Studio,0.01,,,,,0.04
State Grid Corporation of China,0.01,,0.03,,,
Great Ormond Street Hospital Children's Charity,0.01,0.03,,,,
Bill and Melinda Gates Foundation,0.01,,,,0.02,
Montreal Institute of Structured Finance and Derivatives,0.01,,0.03,,,
The Glenmorangie Company,0.01,,0.03,,,
GABA International,0.01,0.03,,,,
Mitsubishi Corporation,0.01,,0.03,,,
First Group,0.01,,0.03,,,
Commission for Rural Communities,0.01,,,,0.02,
Academy of Finland,0.01,,,,,0.04
IUCN Save Our Species,0.01,0.03,,,,
Tusk,0.01,0.03,,,,
National Physical Laboratory,0.01,,0.03,,,
Barnwood House Trust,0.01,,0.03,,,
COFUND,0.01,,,,0.02,
North Staffs Medical Institute,0.01,,0.03,,,
Public Health Laboratory Services,0.01,0.03,,,,
European Centre for Disease Prevention and Control,0.01,0.03,,,,
Facebook United,0.01,0.03,,0.14,,
Cambridge Technology and Trust Initiative,0.01,0.03,,0.14,,
MAVA Foundation Pour Le Nature,0.01,,,,0.02,
US National Cancer Institute,0.01,,,,0.02,
Office for Nuclear Regulation,0.01,,0.03,,,
Welding Alloys Group,0.01,,0.03,,,
Office of the Director of National Intelligence,0.01,,0.03,,,
British Telecom,0.01,,0.03,,,
International Fund for Animal Welfare,0.01,0.03,,,,
Human Frontier Science Research Project,0.01,0.03,,,,
B-Hive Innovations,0.01,,0.03,,,
British Association of Counselling and Psychotherapy,0.01,0.03,,,,
Babes in Arms,0.01,,,,0.02,
Cooperative Bank,0.01,,,,,0.04
"Ministry of Education, Science and Sport of the Republic",0.01,,0.03,,,
Slovenian Research Agency,0.01,,0.03,,,
University of Chicago,0.01,,,,,0.04
Nuclear Decommissioning Authority,0.01,,0.03,,,
Wenner-Gren Foundation,0.01,,,,0.02,
Butterfly Conservation 2015,0.01,,0.03,,,
Research on Open Educational Resources for Development,0.01,,,,0.02,
William and Flora Hewlett Foundation,0.01,,,,0.02,
Wales Centre for Public Policy,0.01,,,,0.02,
Norwich University,0.01,,,,,0.04
Tudor Trust,0.01,,,,0.02,
The Arcadia Philanthropic Trust,0.01,,,,,0.04
British Coal Utilisation Research Association,0.01,,0.03,,,
Sciences Po Paris,0.01,,,,0.02,
Certara,0.01,0.03,,,,
QINETIQ,0.01,,0.03,,,
Joint Research Centre,0.01,,,,0.02,
Philips Netherlands,0.01,0.03,,,,
Scottish Universities Life Sciences Alliance,0.01,0.03,,,,
Iona Cathedral Trustees,0.01,,,,,0.04
European Aviation Safety Agency,0.01,,0.03,,,
Mary Griffiths Fund,0.01,0.03,,,,
AstraZenica,0.01,0.03,,,,
Golsoncott Foundation,0.01,,,,,0.04
Ambache Charitable Trust,0.01,,,,,0.04
Austrian Climate Research Programme,0.01,,,,,0.04
The Royal British Legion,0.01,,0.03,,,
Dstl,0.01,,0.03,,,
Philips Lighting,0.01,0.03,,0.14,,
Clinton Health Access Initiative,0.01,,,,0.02,
NHS Liverpool Clinical Commissioning Group,0.01,0.03,,,,
Formas,0.01,,,,0.02,
University of Manchester,0.01,,,,0.02,
ProVita Eurotech,0.01,0.03,,,,
West of England Local Enterprise Partnership,0.01,,0.03,,,
Netherlands Organisation for Scientific Research,0.01,,,,0.02,
Alexander von Humboldt Stiftung,0.01,,,,,0.04
Sight Savers International,0.01,0.03,,,,
Global Alliance for Livestock Veterinary Medicines,0.01,,0.03,,,
European Maritime and Fisheries,0.01,,,,0.02,
Pulitzer Foundation,0.01,0.03,,0.14,,
CEMAG Care,0.01,0.03,,,,
MEDA Manufacturing GmBH,0.01,0.03,,,,
Aryballe Technologies,0.01,0.03,,,,
Waltham Centre of Pet Nutrition,0.01,0.03,,,,
The James Hutton Institute,0.01,0.03,,,,
State of São Paulo Research Foundation,0.01,,,,0.02,
Swedish Foundation for Humanities and Social Sciences,0.01,,,,0.02,
Foundation for Baltic and East European Studies,0.01,,,,0.02,
Southway Housing Trust,0.01,,,,,0.04
Blue Bear Systems Research,0.01,,0.03,,,
Autonomous Devices,0.01,,0.03,,,
Centre of Expertise on Child Sexual Abuse,0.01,0.03,,0.14,,
Yale University,0.01,,,,,0.04
The Fred Hollows Foundation,0.01,0.03,,,,
THEA Foundation,0.01,0.03,,,,
Brian Holden Vision Institute,0.01,0.03,,,,
Fondation Beyeler,0.01,,0.03,,,
Healthcare Brands International,0.01,0.03,,,,
Helperby Therapeutics Group,0.01,0.03,,,,
Phillips Research Laboratories,0.01,0.03,,,,
Office of Public Health Preparedness and Response,0.01,0.03,,,,
Biomedical Advanced Research and Development Authority,0.01,0.03,,,,
SKF,0.01,,0.03,,,
Borderline Personality Disorder Research Foundation,0.01,0.03,,0.14,,
Public Sector Research Exploitation Fund via Tate Gallery,0.01,,0.03,,,
European Huntington's Disease Network,0.01,0.03,,,,
Art Analysis and Research Ltd,0.01,,0.03,,,
Science Museum,0.01,,0.03,,,
Shepherd Conservation Ltd,0.01,,0.03,,,
National Museum of Ireland,0.01,,0.03,,,
SCULPCONS Limited,0.01,,0.03,,,
Sunamp Ltd,0.01,,0.03,,,
Energy Technology Partnership (ETP),0.01,,0.03,,,
Society of Architectural Historians,0.01,,,,,0.04
Being Human,0.01,,,,,0.04
Yorkshire Forward,0.01,,0.03,,,
Irish Research Council,0.01,,,,,0.04
Sanofi Pasteur MSD,0.01,,0.03,,,
NCRRRAR  (NC3R),0.01,0.03,,,,
Weston Park Hospital Cancer Charity,0.01,0.03,,,,
AWE,0.01,,0.03,,,
London Air Ambulance and Barts,0.01,0.03,,,,
Bank of America,0.01,,0.03,,,
The National Gallery,0.01,,0.03,,,
"EPSRC , AHRC",0.01,,0.03,,,
Norwegian Institute for Air Research,0.01,,0.03,,,
Kuwait Foundation for the advancement of Science,0.01,,0.03,,,
European Research Fund,0.01,,,,0.02,
GuildHE CREST Network,0.01,,0.03,,,
Freelands Foundation,0.01,,,,,0.04
Scottish Environmental Protection Agency,0.01,,,,0.02,
H+H UK,0.01,,0.03,,,
Visit Wales,0.01,,,,0.02,
Nanoparticle Research Laboratory,0.01,,0.03,,,
Cure Parkinson's Trust,0.01,0.03,,0.14,,
Parkinson's UK,0.01,0.03,,0.14,,
Northern Ireland Public Health Agency,0.01,0.03,,,,
The London Charity,0.01,0.03,,,,
BG Group,0.01,,0.03,,,
Statoil,0.01,,0.03,,,
Industry Technology Facilitator,0.01,,0.03,,,
Children’s Foundation,0.01,0.03,,0.14,,
Vetoquinol SA,0.01,0.03,,,,
Dr William M Scholl Research and Development Endowment Fund,0.01,0.03,,,,
Posiva,0.01,,,,0.02,
SKB,0.01,,,,0.02,
Johnson Matthey Davy Technologies,0.01,,0.03,,,
Bristol Industrial and Research Associates,0.01,,0.03,,,
Hong Kong Research Institute of Textiles and Apparel,0.01,,0.03,,,
Pig Improvement Company,0.01,0.03,,,,
Genesis Genetics UK,0.01,0.03,,,,
Topigs Norsvin,0.01,0.03,,,,
BFI,0.01,0.03,,,,
World Gold Council,0.01,,0.03,,,
Knowsley Primary Care Trust,0.01,0.03,,,,
Society of Exploration Geophysicists,0.01,,0.03,,,
Monday Charitable Trust,0.01,,,,0.02,
Gas Sensing Solutions,0.01,,0.03,,,
HOYA surgical optics,0.01,0.03,,,,
Stroud District Council,0.01,,,,0.02,
North Devon +,0.01,,,,0.02,
Fight for sight,0.01,0.03,,,,
Knowledge Tranfer Partnership,0.01,,0.03,,,
Data Lab,0.01,,0.03,,,
Precision Medicine Catapult,0.01,0.03,,,,
Eurochild,0.01,,,,0.02,
Servier,0.01,0.03,,,,
